Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Raveneaux - Houston, TX	Passco Companies	Multifamily / residential	TX	0.084	1.8047	9.58	Houston		Multifamily / Residential	
Country Suites - Wilmington, NC	Peachtree Group	Credit - Hotel		0.2778	1.2	0.72			Credit / Debt	
ARC Houston Healthcare, DST	ARCTRUST	Medical Office						Houston, Texas	Healthcare / Medical Office	
President Hotel (B Note) - Kansas City, MO	Peachtree Group	Credit - Hotel		0.2472	1.09	0.36			Credit / Debt	
Customs & Border Patrol - Atlanta, GA	Syndicated Equities	Government / GSA-leased	GA	0.1404	1.95	6.77	Atlanta		Government / GSA-Leased	
TownePlace Suites - Irving, TX	Peachtree Group	Credit - Hotel		0.197	1.35	1.78			Credit / Debt	
Legacy at Acworth - Acworth, GA	Syndicated Equities		GA	0.1382	1.54	3.91	Acworth			
Fairfield Inn & Suites (Note B) - Fort Morgan, CO	Peachtree Group	Credit - Hotel		0.1719	1.32	1.86			Credit / Debt	
Hanley & Mote - Covington, GA	Peachtree Group	Credit - Multifamily		0.1749	1.17	0.97			Credit / Debt	
The Vista & Willow Creek - Portage and Battle Creek, MI	Syndicated Equities		MI	0.0861	1.19	2.21	Portage and Battle Creek			
Hampton Inn - Bowie, MD	Peachtree Group	Credit - Hotel		0.4779	1.98	2.05			Credit / Debt	
Shops of Beverly - Beverly, IL	Syndicated Equities	Retail	IL	-0.0379	0.56	11.61	Beverly		Net Lease (NNN) Retail	
Applebee's	AEI	Net-leased restaurant	KY	0.093059	1.8739	9.390828	Crestview Hills		Net Lease (NNN) Retail	
Fashion Outlet Center - Las Vegas, NV	Syndicated Equities	Retail	NV	-0.2365	0.19	3.43	Las Vegas		Net Lease (NNN) Retail	
Fuddruckers	AEI	Net-leased restaurant	CO	0.022543	1.2404	10.663929	Thornton		Net Lease (NNN) Retail	
Holiday Inn Express - Jacksonville, FL	Peachtree Group	Credit - Hotel		0.1673	1.36	2.15			Credit / Debt	
Staybridge Suites - Middleton, WI	Peachtree Group	Hotel		-0.1712	0.13	5.08			Hotel / Hospitality	
Hampton Inn - Plantation, FL	Peachtree Group	Hotel		0.0065	1.03	4.64			Hotel / Hospitality	
Hampton Inn (Note B) - Cullman, AL	Peachtree Group	Credit - Hotel		0.2951	1.53	1.8			Credit / Debt	
Self-Storage Portfolio V DST	Inland Private Capital	Self storage		0.1378	1.93	6.75			Self Storage	
Fund I	Reliant	Self storage		0.700561	2.17	1.67		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Modesto Retail Center DST	Inland Private Capital	Retail		0.0524	1.22	4.2			Net Lease (NNN) Retail	
National Net Lease Portfolio VI DST	Inland Private Capital	Retail		0.0412	1.44	10.67			Net Lease (NNN) Retail	
Fairfield Inn & Suites - East Syracuse, NY	Peachtree Group	Credit - Hotel		0.3744	1.82	2.19			Credit / Debt	
Hampton Inn - Tampa, FL	Peachtree Group	Credit - Hotel		0.1736	1.45	2.59			Credit / Debt	
Office Building (Acorn) - Thomasville, GA	Peachtree Group	Credit - Office							Credit / Debt	
Riverside Apartments	Bluerock	Multifamily / residential	TX	0.092181	1.184362	2	Austin		Multifamily / Residential	
Midgard Mall Drive	Reliant	Self storage		0.269105	3.13	7.92		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Clay 1031, L.L.C.	Inland Private Capital	Retail		0.0353	1.52	14.73			Net Lease (NNN) Retail	
Dolphin Inn - Virginia Beach, VA	Peachtree Group	Credit - Hotel		0.1869	1.13	0.7			Credit / Debt	
Arlington - Spanish Fort, AL	Passco Companies	Multifamily / residential	AL	0.0838	1.4827	5.76	Spanish Fort		Multifamily / Residential	
SpringHill Suites (Note 1) - Coralville, IA	Peachtree Group	Credit - Hotel		0.4923	1.43	0.87			Credit / Debt	
Tumbleweed	AEI	Net-leased restaurant	OH	0.067765	1.6232	9.196441	Chillicothe		Net Lease (NNN) Retail	
Courtyard (Note 2) - Niagara, NY	Peachtree Group	Credit - Hotel		0.2204	1.14	0.64			Credit / Debt	
EVEN - Atlanta, GA	Peachtree Group	Credit - Hotel		0.1985	1.8	4.03			Credit / Debt	
Homewood Suites - Macon, GA	Peachtree Group	Credit - Hotel							Credit / Debt	
Best Western - Mesa, AZ	Peachtree Group	Credit - Hotel		0.2257	1.11	0.49			Credit / Debt	
Acquisitions Notes 2	ExchangeRight	Debt / notes program		0.056248	1.31	5.511294		Multiple states - not disclosed in PPM	Credit / Debt	
Hyatt Regency - Newport Beach, CA	Peachtree Group	Credit - Hotel		0.2181	1.04	0.18			Credit / Debt	
Village at Lionsgate - Overland Park, KS	Passco Companies	Multifamily / residential	KS	0.0707	1.6837	9.67	Overland Park		Multifamily / Residential	
